epoch;accuracy;loss;val_accuracy;val_loss
0;0.64505;0.6406122281074524;0.7145000100135803;0.5339558124542236
1;0.70875;0.5662933526039123;0.7149999737739563;0.537904679775238
2;0.7303;0.5354533994674683;0.7455000281333923;0.5455108880996704
3;0.7392;0.5200743863582611;0.7584999799728394;0.6262080073356628
4;0.74585;0.5111017137169838;0.762499988079071;0.4060254693031311
5;0.7499;0.5044811520695687;0.7400000095367432;0.6641095876693726
6;0.7522;0.4981008225440979;0.7630000114440918;0.5856824517250061
7;0.75915;0.48955012503862383;0.7639999985694885;0.3212830424308777
8;0.7581;0.48794754000902174;0.7609999775886536;0.49501943588256836
9;0.76155;0.4847707665801048;0.7409999966621399;0.5116950273513794
10;0.7646;0.4775817920446396;0.7760000228881836;0.3682008981704712
11;0.7709;0.4704843793153763;0.7609999775886536;0.6263213157653809
12;0.77565;0.463649335873127;0.7870000004768372;0.2700057625770569
13;0.77865;0.45692812213897704;0.7889999747276306;0.5850565433502197
14;0.7813;0.4525634798884392;0.7730000019073486;0.6070584058761597
15;0.7912;0.44257789611816406;0.7944999933242798;0.6182593107223511
16;0.7973;0.436777093911171;0.7979999780654907;0.6710798740386963
17;0.79925;0.429878882420063;0.7975000143051147;0.6274402141571045
18;0.80285;0.42003274829387666;0.8140000104904175;0.21790897846221924
19;0.8104;0.4112764656126499;0.8215000033378601;0.43303704261779785
20;0.81245;0.40403547332882883;0.8190000057220459;0.53565514087677
21;0.81995;0.3968009806871414;0.8355000019073486;0.2525773048400879
22;0.8205;0.38963956298828123;0.8075000047683716;0.4045741856098175
23;0.82705;0.37912425038814546;0.8395000100135803;0.33608904480934143
24;0.8304;0.36910947920084;0.8454999923706055;0.35492902994155884
25;0.8356;0.36453692064285276;0.8529999852180481;0.42255905270576477
26;0.8429;0.35364979095458987;0.8560000061988831;0.4029982388019562
27;0.84415;0.3488723268508911;0.859499990940094;0.23721584677696228
28;0.8473;0.34311615601480006;0.8644999861717224;0.2366902083158493
29;0.85175;0.33672653592824936;0.8690000176429749;0.3506278991699219
30;0.85575;0.33021780987977983;0.8744999766349792;0.14786207675933838
31;0.8607;0.3222614154160023;0.8725000023841858;0.04372183233499527
32;0.8623;0.31401794359683993;0.8744999766349792;0.5742032527923584
33;0.86625;0.3106219141960144;0.8744999766349792;0.1751181185245514
34;0.8666;0.30672482803463935;0.8774999976158142;0.27120035886764526
35;0.8715;0.29694103971719743;0.8845000267028809;0.4488672614097595
36;0.87305;0.294095583692193;0.8600000143051147;0.6013864278793335
37;0.87515;0.29257946256399153;0.8859999775886536;0.6068507432937622
38;0.87805;0.28542160467207434;0.878000020980835;0.14461937546730042
39;0.8807;0.2790766481757164;0.8859999775886536;0.4297776520252228
40;0.88475;0.2747886557728052;0.8889999985694885;0.24790018796920776
41;0.8826;0.2752566332906485;0.8794999718666077;0.33358311653137207
42;0.8844;0.26774197788462045;0.8880000114440918;0.1976499706506729
43;0.88785;0.26244525836110116;0.8865000009536743;0.20197030901908875
44;0.89605;0.25169804343283175;0.875;0.1872471570968628
45;0.8923;0.25587102519869803;0.8899999856948853;0.15211144089698792
46;0.8945;0.24912176169008016;0.8845000267028809;0.05512995645403862
47;0.89865;0.24400693739801646;0.8830000162124634;0.4124522805213928
48;0.8975;0.24474630061089991;0.8740000128746033;0.36139971017837524
49;0.8995;0.24037910465598106;0.9004999995231628;0.08576606214046478
