epoch;accuracy;loss;val_accuracy;val_loss
0;0.61555;0.6617481419324874;0.7085000276565552;0.6402364373207092
1;0.71935;0.5611587265729904;0.7400000095367432;0.32104137539863586
2;0.74815;0.5189363860726357;0.7444999814033508;0.534285843372345
3;0.75805;0.5041167974948884;0.7440000176429749;0.5658140182495117
4;0.76535;0.49292286396026613;0.7735000252723694;0.3707942068576813
5;0.7713;0.4839353994131088;0.781000018119812;0.5771674513816833
6;0.7756;0.4773924256563187;0.7724999785423279;0.7633563280105591
7;0.77895;0.4697832816362381;0.781000018119812;0.3237092196941376
8;0.77955;0.4659708899974823;0.7829999923706055;0.4930790662765503
9;0.78415;0.4605440804243088;0.7739999890327454;0.37056779861450195
10;0.78635;0.4536342274904251;0.7764999866485596;0.40928298234939575
11;0.7903;0.45037758128643035;0.7649999856948853;0.37794172763824463
12;0.7906;0.44404250717163085;0.7940000295639038;0.596276044845581
13;0.7992;0.4322838669896126;0.7975000143051147;0.32290148735046387
14;0.7996;0.4340464042007923;0.7879999876022339;0.5160539150238037
15;0.8022;0.427188369512558;0.7835000157356262;0.31139764189720154
16;0.80935;0.41826831535696984;0.8105000257492065;0.24872058629989624
17;0.80945;0.41539392433166505;0.7894999980926514;0.4859791398048401
18;0.8134;0.407798791885376;0.8169999718666077;0.12909533083438873
19;0.821;0.4016413076221943;0.8215000033378601;0.45636630058288574
20;0.81925;0.3961738789975643;0.8090000152587891;0.42490941286087036
21;0.8266;0.38793799753785135;0.8264999985694885;0.23281201720237732
22;0.82845;0.3819943824648857;0.7975000143051147;0.15429793298244476
23;0.83075;0.37646317056417467;0.8259999752044678;0.17899549007415771
24;0.8366;0.3690897035241127;0.8374999761581421;0.15428999066352844
25;0.83875;0.3624375071108341;0.8339999914169312;0.4498473107814789
26;0.84235;0.3597201480984688;0.8485000133514404;0.4119775891304016
27;0.8465;0.34989782413244247;0.8320000171661377;0.23671439290046692
28;0.84965;0.3437112185895443;0.8479999899864197;0.15466198325157166
29;0.85165;0.3413382867574692;0.8255000114440918;0.4295886158943176
30;0.8532;0.33361264181137085;0.8144999742507935;0.268047571182251
31;0.85525;0.32970154539346697;0.8544999957084656;0.17300692200660706
32;0.85915;0.32258703179955484;0.8654999732971191;0.23719504475593567
33;0.8629;0.31600754750072957;0.8640000224113464;0.24251073598861694
34;0.8656;0.3118747866809368;0.862500011920929;0.20256879925727844
35;0.86795;0.3098392399728298;0.8610000014305115;0.07830114662647247
36;0.86805;0.3020365238785744;0.8585000038146973;0.5714796781539917
37;0.86975;0.30109908063709734;0.8679999709129333;0.2824936509132385
38;0.8753;0.2937515242516994;0.8679999709129333;0.3585091233253479
39;0.87455;0.2933707177519798;0.8744999766349792;0.19270256161689758
40;0.88045;0.28198662314713;0.8740000128746033;0.1588941216468811
41;0.88255;0.2779777492672205;0.8759999871253967;0.19148193299770355
42;0.88525;0.2710334061205387;0.8799999952316284;0.4609401822090149
43;0.88485;0.2707128261357546;0.8690000176429749;0.22210480272769928
44;0.88845;0.2669766963645816;0.890500009059906;0.2097088098526001
45;0.8899;0.26117021149843933;0.8895000219345093;0.21540841460227966
46;0.89235;0.2600767662897706;0.890999972820282;0.3139466941356659
47;0.89335;0.2576458078041673;0.8849999904632568;0.41980278491973877
48;0.89425;0.2519403062328696;0.8920000195503235;0.2653496265411377
49;0.8969;0.2508968253910542;0.8985000252723694;0.49372923374176025
